keyword,day,interest
social battery,0,30.9
social battery,1,36.6
social battery,2,37.8
social battery,3,30.0
social battery,4,33.0
social battery,5,38.5
social battery,6,38.5
social battery,7,40.7
social battery,8,39.5
social battery,9,45.8
social battery,10,46.5
social battery,11,45.2
social battery,12,48.9
social battery,13,47.1
social battery,14,43.1
social battery,15,46.4
social battery,16,41.8
social battery,17,46.4
social battery,18,42.5
social battery,19,40.8
social battery,20,38.0
social battery,21,42.4
social battery,22,36.9
social battery,23,34.9
social battery,24,34.1
social battery,25,35.9
social battery,26,34.8
social battery,27,34.7
social battery,28,34.8
social battery,29,40.3
social battery,30,33.2
social battery,31,33.8
social battery,32,33.9
social battery,33,39.4
social battery,34,42.2
social battery,35,39.8
social battery,36,38.9
social battery,37,40.2
social battery,38,45.6
social battery,39,46.6
social battery,40,46.6
social battery,41,43.2
social battery,42,45.8
social battery,43,45.1
social battery,44,44.7
social battery,45,45.8
social battery,46,42.8
social battery,47,42.9
social battery,48,39.7
social battery,49,39.0
social battery,50,38.7
social battery,51,31.2
social battery,52,33.6
social battery,53,32.3
social battery,54,31.3
social battery,55,32.1
social battery,56,37.4
social battery,57,30.7
social battery,58,36.8
social battery,59,29.7
social battery,60,34.8
social battery,61,37.5
social battery,62,40.1
social battery,63,41.8
social battery,64,43.3
social battery,65,41.0
social battery,66,41.7
social battery,67,46.4
social battery,68,43.8
social battery,69,40.8
social battery,70,41.1
social battery,71,41.4
social battery,72,45.0
social battery,73,43.1
social battery,74,43.6
social battery,75,39.0
social battery,76,39.4
social battery,77,39.5
social battery,78,35.3
social battery,79,36.4
social battery,80,32.0
social battery,81,32.1
social battery,82,31.5
social battery,83,28.8
social battery,84,33.8
social battery,85,31.3
social battery,86,33.4
social battery,87,35.6
social battery,88,36.6
social battery,89,38.4
social battery,90,37.4
social battery,91,37.8
social battery,92,40.1
social battery,93,36.5
social battery,94,38.2
social battery,95,39.3
social battery,96,40.8
social battery,97,45.2
social battery,98,41.3
