post_id,episode,topic,title,format,hook_type,duration_s,caption_style,day,posting_hour,caption
P001,1,Social Anxiety,Rehearsing a conversation that was never going to happen,Reel,Text Hook,24,Storytelling,0,22,"Rehearsing a conversation that was never going to happen. If you know, you know.

I made this because I lived it - every single frame of it. Somewhere between pretending we're fine and actually being fine, there's a whole generation figuring itself out.

If this hit home, send it to the friend who needs it today. And tell me your version in the comments - I read every one.

#socialanxiety #overthinking #introvertlife #mentalhealthmatters #relatable"
P002,2,Dating & Situationships,"Situationship: 99% girlfriend, 0% definition",Reel,Text Hook,29,Listicle,1,10,"Situationship: 99% girlfriend, 0% definition - the unofficial guide:

1. Pretend it's fine.
2. Overthink that it's not fine.
3. Make a meme about it instead of processing it.
4. Repeat.

Save this for the next time it happens (we both know it will). Which step are you stuck on? Number in the comments.

#situationship #datinglife #modernlove #redflags #relatable"
P003,3,Money Struggles,My bank account after the 1st of the month,Reel,Visual Hook,17,Question,3,9,"My bank account after the 1st of the month.

Real question: when did this become normal for us? Drop your story below - the weirder the better. Sharing this might be easier than explaining it out loud, so if it resonates, pass it on quietly.

#brokelife #moneystruggles #studentlife #budgeting #relatable"
P004,4,College & Hostel Life,Attendance: a horror story in 3 acts,Reel,Text Hook,25,Storytelling,4,13,"Attendance: a horror story in 3 acts. If you know, you know.

I made this because I lived it - every single frame of it. Somewhere between pretending we're fine and actually being fine, there's a whole generation figuring itself out.

If this hit home, send it to the friend who needs it today. And tell me your version in the comments - I read every one.

#hostellife #collegelife #exams #messfood #relatable"
P005,5,Family Pressure,'Log kya kahenge' - the national question,Reel,Text Hook,27,Listicle,5,12,"'Log kya kahenge' - the national question - the unofficial guide:

1. Pretend it's fine.
2. Overthink that it's not fine.
3. Make a meme about it instead of processing it.
4. Repeat.

Save this for the next time it happens (we both know it will). Which step are you stuck on? Number in the comments.

#familypressure #desiparents #logkyakahenge #brownkidproblems #relatable"
P006,6,Self-Image & Comparison,"Everyone's life is a highlight reel, mine is bloopers",Reel,Text Hook,26,Question,7,12,"Everyone's life is a highlight reel, mine is bloopers.

Real question: when did this become normal for us? Drop your story below - the weirder the better. Sharing this might be easier than explaining it out loud, so if it resonates, pass it on quietly.

#selfimage #comparisontrap #highlightreel #selfworth #relatable"
P007,7,Social Anxiety,Leaving the party without telling anyone: a documentary,Reel,Visual Hook,31,Listicle,8,11,"Leaving the party without telling anyone: a documentary - the unofficial guide:

1. Pretend it's fine.
2. Overthink that it's not fine.
3. Make a meme about it instead of processing it.
4. Repeat.

Save this for the next time it happens (we both know it will). Which step are you stuck on? Number in the comments.

#socialanxiety #overthinking #introvertlife #mentalhealthmatters #relatable"
P008,8,Dating & Situationships,Analyzing his 'gn' like it's ancient scripture,Reel,Visual Hook,22,Question,10,10,"Analyzing his 'gn' like it's ancient scripture.

Real question: when did this become normal for us? Drop your story below - the weirder the better. Sharing this might be easier than explaining it out loud, so if it resonates, pass it on quietly.

#situationship #datinglife #modernlove #redflags #relatable"
P009,9,Money Struggles,Price of a coffee vs. my self-worth,Carousel,Text Hook,,Storytelling,11,22,"Price of a coffee vs. my self-worth. If you know, you know.

I made this because I lived it - every single frame of it. Somewhere between pretending we're fine and actually being fine, there's a whole generation figuring itself out.

If this hit home, send it to the friend who needs it today. And tell me your version in the comments - I read every one.

#brokelife #moneystruggles #studentlife #budgeting #relatable"
P010,10,College & Hostel Life,Hostel food vs. my gut: the ongoing war,Carousel,Visual Hook,,Listicle,12,20,"Hostel food vs. my gut: the ongoing war - the unofficial guide:

1. Pretend it's fine.
2. Overthink that it's not fine.
3. Make a meme about it instead of processing it.
4. Repeat.

Save this for the next time it happens (we both know it will). Which step are you stuck on? Number in the comments.

#hostellife #collegelife #exams #messfood #relatable"
