post_id,handle,topic,title,format,hook_type,duration_s,caption_style,posted_on,day,posting_hour,impressions,reach,likes,comments,shares,saves,retention_rate,profile_visits,followers_gained,breakout
P001,@relatable.struggles,Social Anxiety,Rehearsing a conversation that was never going to happen,Reel,Text Hook,24,Storytelling,2025-06-01,0,22,37458,27685,1476,120,304,444,0.696,770,226,0
P002,@relatable.struggles,Dating & Situationships,"Situationship: 99% girlfriend, 0% definition",Reel,Text Hook,29,Listicle,2025-06-02,1,10,3502,2990,168,27,25,62,0.665,43,26,0
P003,@relatable.struggles,Money Struggles,My bank account after the 1st of the month,Reel,Visual Hook,17,Question,2025-06-04,3,9,3068,2658,161,15,40,48,0.676,34,29,0
P004,@relatable.struggles,College & Hostel Life,Attendance: a horror story in 3 acts,Reel,Text Hook,25,Storytelling,2025-06-05,4,13,7319,5742,322,69,41,54,0.766,80,23,0
P005,@relatable.struggles,Family Pressure,'Log kya kahenge' - the national question,Reel,Text Hook,27,Listicle,2025-06-06,5,12,15454,11507,634,90,121,227,0.634,190,93,0
P006,@relatable.struggles,Self-Image & Comparison,"Everyone's life is a highlight reel, mine is bloopers",Reel,Text Hook,26,Question,2025-06-08,7,12,9824,8007,393,66,119,87,0.675,156,57,0
P007,@relatable.struggles,Social Anxiety,Leaving the party without telling anyone: a documentary,Reel,Visual Hook,31,Listicle,2025-06-09,8,11,2147,1830,117,15,16,48,0.57,53,18,0
P008,@relatable.struggles,Dating & Situationships,Analyzing his 'gn' like it's ancient scripture,Reel,Visual Hook,22,Question,2025-06-11,10,10,8987,6706,486,54,96,58,0.645,166,51,0
P009,@relatable.struggles,Money Struggles,Price of a coffee vs. my self-worth,Carousel,Text Hook,,Storytelling,2025-06-12,11,22,5185,4422,243,51,45,119,,114,37,0
P010,@relatable.struggles,College & Hostel Life,Hostel food vs. my gut: the ongoing war,Carousel,Visual Hook,,Listicle,2025-06-13,12,20,9710,7085,387,42,39,150,,115,50,0
P011,@relatable.struggles,Family Pressure,Comparing me to Sharma ji's son since birth,Carousel,Text Hook,,Question,2025-06-15,14,10,1615,1287,50,12,19,29,,22,15,0
P012,@relatable.struggles,Self-Image & Comparison,Scrolling LinkedIn with chest pain,Reel,Visual Hook,20,Storytelling,2025-06-16,15,21,36639,26313,1493,120,237,359,0.635,480,173,0
P013,@relatable.struggles,Social Anxiety,The 3-hour spiral after 'seen' but no reply,Carousel,Text Hook,,Question,2025-06-17,16,18,2029,1725,88,18,32,35,,19,16,0
P014,@relatable.struggles,Dating & Situationships,"Red flags I ignored, a Pinterest board",Carousel,Text Hook,,Storytelling,2025-06-19,18,9,2042,1451,78,15,2,28,,18,7,0
P015,@relatable.struggles,Money Struggles,Budgeting: a fantasy genre,Reel,Text Hook,15,Listicle,2025-06-20,19,9,2855,2342,109,18,19,47,0.775,61,12,0
P016,@relatable.struggles,College & Hostel Life,"Studying everything the night before, a tradition",Reel,Visual Hook,46,Question,2025-06-22,21,10,1572,1365,83,15,12,10,0.401,31,4,0
P017,@relatable.struggles,Family Pressure,Career counseling by relatives who failed at theirs,Reel,Visual Hook,24,Storytelling,2025-06-23,22,12,9720,8258,458,63,83,107,0.738,129,38,0
P018,@relatable.struggles,Self-Image & Comparison,Body checking in every reflective surface,Carousel,Text Hook,,Listicle,2025-06-24,23,12,5569,4042,203,30,25,104,,45,38,0
P019,@relatable.struggles,Social Anxiety,Ordering food like you're defusing a bomb,Reel,Visual Hook,18,Storytelling,2025-06-26,25,20,37378,26381,1492,120,333,423,0.685,395,177,0
P020,@relatable.struggles,Dating & Situationships,'We should hang out sometime' - sometime never arrives,Static Post,Text Hook,,Listicle,2025-06-27,26,21,4729,3582,165,18,7,26,,86,10,0
P021,@relatable.struggles,Money Struggles,'It's just Rs.200' said 30 times a month,Carousel,Visual Hook,,Question,2025-06-28,27,9,1529,1237,52,18,9,34,,32,9,0
P022,@relatable.struggles,College & Hostel Life,The roommate who snores like a jet engine,Reel,Text Hook,22,Storytelling,2025-06-30,29,20,93150,66756,3614,120,521,616,0.621,1311,392,0
P023,@relatable.struggles,Family Pressure,I said 'no' once and became the villain,Static Post,Text Hook,,Listicle,2025-07-01,30,12,2766,2202,97,21,5,24,,38,5,0
P024,@relatable.struggles,Self-Image & Comparison,'Be yourself' - but not like that,Static Post,Text Hook,,Question,2025-07-02,31,22,3670,2661,97,4,9,17,,56,6,0
P025,@relatable.struggles,Social Anxiety,"'You've changed' - no, I just stopped performing",Static Post,Text Hook,,Listicle,2025-07-04,33,20,3680,2668,117,24,6,42,,60,11,0
P026,@relatable.struggles,Dating & Situationships,The ick is real and it arrived mid-date,Reel,Visual Hook,26,Question,2025-07-05,34,18,2866,2245,154,9,23,25,0.74,28,11,0
P027,@relatable.struggles,Money Struggles,Checking the bill with one eye closed,Reel,Visual Hook,21,Storytelling,2025-07-07,36,12,16402,13173,753,120,131,212,0.686,345,87,0
P028,@relatable.struggles,College & Hostel Life,Backlog season is a personality trait,Static Post,Text Hook,,Listicle,2025-07-08,37,19,5885,4436,173,18,17,20,,87,9,0
P029,@relatable.struggles,Family Pressure,The 'sab kuch shi ho jayega' parenting style,Carousel,Visual Hook,,Question,2025-07-09,38,21,10030,7389,339,75,92,130,,169,43,0
P030,@relatable.struggles,Self-Image & Comparison,The 2am glow-up I never start,Reel,Text Hook,23,Storytelling,2025-07-11,40,13,12550,8741,405,96,78,126,0.768,145,43,0
