day,date,followers
0,2025-06-01,5442
1,2025-06-02,5478
2,2025-06-03,5490
3,2025-06-04,5532
4,2025-06-05,5557
5,2025-06-06,5649
6,2025-06-07,5650
7,2025-06-08,5717
8,2025-06-09,5749
9,2025-06-10,5757
10,2025-06-11,5808
11,2025-06-12,5861
12,2025-06-13,5910
13,2025-06-14,5915
14,2025-06-15,5934
15,2025-06-16,6116
16,2025-06-17,6146
17,2025-06-18,6146
18,2025-06-19,6159
19,2025-06-20,6180
20,2025-06-21,6180
21,2025-06-22,6191
22,2025-06-23,6238
23,2025-06-24,6276
24,2025-06-25,6276
25,2025-06-26,6460
26,2025-06-27,6476
27,2025-06-28,6494
28,2025-06-29,6515
29,2025-06-30,6920
30,2025-07-01,6935
31,2025-07-02,6944
32,2025-07-03,6957
33,2025-07-04,6971
34,2025-07-05,6999
35,2025-07-06,7014
36,2025-07-07,7097
37,2025-07-08,7106
38,2025-07-09,7155
39,2025-07-10,7160
40,2025-07-11,7203
41,2025-07-12,7222
42,2025-07-13,7238
43,2025-07-14,7242
44,2025-07-15,7243
45,2025-07-16,7274
46,2025-07-17,7287
47,2025-07-18,7668
48,2025-07-19,7774
49,2025-07-20,7923
50,2025-07-21,7926
51,2025-07-22,7957
52,2025-07-23,7986
53,2025-07-24,8037
54,2025-07-25,8052
55,2025-07-26,8105
56,2025-07-27,8143
57,2025-07-28,8155
58,2025-07-29,8182
59,2025-07-30,8555
60,2025-07-31,9694
61,2025-08-01,9700
62,2025-08-02,9729
63,2025-08-03,9744
64,2025-08-04,11131
65,2025-08-05,11140
66,2025-08-06,11407
67,2025-08-07,11424
68,2025-08-08,11472
69,2025-08-09,11488
70,2025-08-10,11516
71,2025-08-11,12727
72,2025-08-12,12733
73,2025-08-13,12756
74,2025-08-14,12786
75,2025-08-15,12799
76,2025-08-16,12810
77,2025-08-17,12987
78,2025-08-18,12999
79,2025-08-19,12994
80,2025-08-20,13012
81,2025-08-21,13016
82,2025-08-22,13045
83,2025-08-23,13061
84,2025-08-24,13264
85,2025-08-25,13278
86,2025-08-26,13331
87,2025-08-27,13328
88,2025-08-28,13351
89,2025-08-29,13412
