keyword,current_level,level_60d_mean,forecast_14d_end,forecast_slope_per_day,recent_slope_per_day,slope_90d_per_day,momentum_z,status
quiet quitting,41.1,39.0,35.8,-0.133,-0.049,-0.038,1.44,STEADY
brain rot,52.5,47.8,49.7,-0.078,0.108,0.114,1.42,RISING
hikikomori,17.9,16.5,20.2,0.045,0.085,0.019,0.38,STEADY
oldest daughter syndrome,34.9,31.9,37.9,0.061,0.161,0.112,0.21,RISING
main character syndrome,30.9,29.6,39.3,0.166,0.056,0.023,-0.16,STEADY
phone anxiety,38.2,37.5,45.2,0.143,0.062,0.017,-0.38,STEADY
situationship,58.9,60.2,65.0,0.124,0.06,-0.014,-0.59,STEADY
social battery,35.1,37.2,45.6,0.219,0.029,-0.029,-1.22,STEADY
money dysmorphia,26.1,25.5,26.7,0.008,0.066,0.08,-1.39,RISING
bed rotting,62.8,67.0,70.9,0.173,0.021,-0.075,-1.4,MAINSTREAM
