comment_id,post_id,topic,comment_text,intent,sentiment_label,likes_on_comment,posted_on,clean,relatable_tag,relatable_probability,lexicon_score
C00000_P001,P001,Social Anxiety,this is too accurate lol,validation,relatable,14,2025-06-01,this is too accurate lol,Relatable,0.946,0.34
C00001_P001,P001,Social Anxiety,underrated page fr sis,generic,neutral,8,2025-06-01,underrated page fr sis,Neutral,0.0216,-0.34
C00002_P001,P001,Social Anxiety,nice post 👍,generic,neutral,8,2025-06-01,nice post,Neutral,0.0661,-0.34
C00003_P001,P001,Social Anxiety,stop describing me 💀,validation,relatable,8,2025-06-01,stop describing me,Relatable,0.9611,0.34
C00004_P001,P001,Social Anxiety,realest thing on my feed today,ambiguous,neutral,9,2025-06-01,realest thing on my feed today,Relatable,0.5428,0.0
C00005_P001,P001,Social Anxiety,FAKE DEEP,sarcasm,neutral,11,2025-06-01,fake deep,Neutral,0.0409,0.0
C00006_P001,P001,Social Anxiety,hmm,ambiguous,neutral,10,2025-06-01,hmm,Neutral,0.1748,0.0
C00007_P001,P001,Social Anxiety,fr too accurate lol,validation,relatable,9,2025-06-01,fr too accurate lol,Relatable,0.9496,0.34
C00008_P001,P001,Social Anxiety,you read my diary fr fr,validation,relatable,12,2025-06-01,you read my diary fr fr,Relatable,0.9788,0.0
C00009_P001,P001,Social Anxiety,love this page btw,generic,neutral,8,2025-06-01,love this page btw,Neutral,0.0138,-0.34
C00010_P001,P001,Social Anxiety,literally a documentary about me...,validation,relatable,9,2025-06-01,literally a documentary about me,Relatable,0.9695,0.68
C00011_P001,P001,Social Anxiety,I'm going to pretend I didn't read thiiis fr,validation,relatable,10,2025-06-01,i'm going to pretend i didn't read thiis fr,Relatable,0.9817,0.0
C00012_P001,P001,Social Anxiety,"hold on, my whole life lmao",validation,relatable,10,2025-06-01,hold on my whole life lmao,Relatable,0.9834,0.0
C00013_P001,P001,Social Anxiety,"I rehearse before ordering coffee, no exaggeration",personal_story,relatable,13,2025-06-01,i rehearse before ordering coffee no exaggeration,Relatable,0.8775,0.0
C00014_P001,P001,Social Anxiety,not me screenshot of my head 😭,validation,relatable,8,2025-06-01,not me screenshot of my head,Relatable,0.9897,0.34
C00015_P001,P001,Social Anxiety,wait too accurate ngl,validation,relatable,11,2025-06-01,wait too accurate ngl,Relatable,0.9518,0.34
C00016_P001,P001,Social Anxiety,my hands shake when the phone rings too,personal_story,relatable,11,2025-06-01,my hands shake when the phone rings too,Relatable,0.9051,0.0
C00017_P001,P001,Social Anxiety,the timing of this post is suspicious lmao,validation,relatable,6,2025-06-01,the timing of this post is suspicious lmao,Relatable,0.9656,0.0
C00018_P001,P001,Social Anxiety,personal at this point 🥲🥲,validation,relatable,12,2025-06-01,personal at this point,Relatable,0.957,0.0
C00019_P001,P001,Social Anxiety,dm for promotions macha,generic,neutral,8,2025-06-01,dm for promotions macha,Neutral,0.01,-0.34
C00020_P001,P001,Social Anxiety,that's it me,validation,relatable,6,2025-06-01,that's it me,Relatable,0.9454,0.34
C00021_P001,P001,Social Anxiety,so dramatic for no reason,sarcasm,neutral,16,2025-06-01,so dramatic for no reason,Neutral,0.0825,0.0
C00022_P001,P001,Social Anxiety,I felt that 😭,validation,relatable,16,2025-06-01,i felt that,Relatable,0.935,0.34
C00023_P001,P001,Social Anxiety,"ANOTHER RELATABLE PAGE, HOW ORIGINAL",sarcasm,neutral,13,2025-06-01,another relatable page how original,Neutral,0.0229,0.0
C00024_P001,P001,Social Anxiety,this is just basic psychology,sarcasm,neutral,9,2025-06-01,this is just basic psychology,Neutral,0.0677,0.0
C00025_P001,P001,Social Anxiety,painfully accurate ong,validation,relatable,7,2025-06-01,painfully accurate ong,Relatable,0.9407,0.68
C00026_P001,P001,Social Anxiety,a documentary about me lol,validation,relatable,12,2025-06-01,a documentary about me lol,Relatable,0.9728,0.34
C00027_P001,P001,Social Anxiety,no because it me 😭,validation,relatable,10,2025-06-01,no because it me,Relatable,0.9783,0.34
C00028_P001,P001,Social Anxiety,"came here to laugh, stayed to confront myself bhai",validation,relatable,7,2025-06-01,came here to laugh stayed to confront myself bhai,Relatable,0.968,0.34
C00029_P001,P001,Social Anxiety,the way too real...,validation,relatable,11,2025-06-01,the way too real,Relatable,0.9078,0.34
C00030_P001,P001,Social Anxiety,REPORTING THIS FOR PERSONAL DAMAGE ANNA,validation,relatable,6,2025-06-01,reporting this for personal damage anna,Relatable,0.9659,0.0
C00031_P001,P001,Social Anxiety,who allowed you to expose me like this 🥲,validation,relatable,15,2025-06-01,who allowed you to expose me like this,Relatable,0.951,0.34
C00032_P001,P001,Social Anxiety,nah too accurate ong,validation,relatable,9,2025-06-01,nah too accurate ong,Relatable,0.9652,0.34
C00033_P001,P001,Social Anxiety,every frame is my biography,validation,relatable,12,2025-06-01,every frame is my biography,Relatable,0.9774,0.0
C00034_P001,P001,Social Anxiety,first comment sis,generic,neutral,9,2025-06-01,first comment sis,Neutral,0.0217,0.0
C00035_P001,P001,Social Anxiety,"watched this, closed the app, opened it again, watched it again. yeah.",validation,relatable,11,2025-06-01,watched this closed the app opened it again watched it again yeah,Relatable,0.8896,-0.34
C00036_P001,P001,Social Anxiety,true that 🔥,generic,neutral,11,2025-06-01,true that,Neutral,0.0249,0.34
C00037_P001,P001,Social Anxiety,STATING THE OBVIOUS SINCE 2020,sarcasm,neutral,8,2025-06-01,stating the obvious since,Neutral,0.0468,0.0
C00038_P001,P001,Social Anxiety,"sure, totally me",sarcasm,neutral,17,2025-06-01,sure totally me,Neutral,0.0829,0.34
C00039_P001,P001,Social Anxiety,i didn't consent to being exposed pls,validation,relatable,13,2025-06-01,i didn't consent to being exposed pls,Relatable,0.9654,0.0
C00040_P001,P001,Social Anxiety,ok but a documentary about me ngl,validation,relatable,16,2025-06-01,ok but a documentary about me ngl,Relatable,0.9626,0.34
C00041_P001,P001,Social Anxiety,I paused. sat down. processed. same. 😭,validation,relatable,15,2025-06-01,i paused sat down processed same,Relatable,0.9534,0.34
C00042_P001,P001,Social Anxiety,who allowed you to expose me like this lmao,validation,relatable,11,2025-06-01,who allowed you to expose me like this lmao,Relatable,0.9602,0.34
