comment_id,post_id,topic,comment_text,intent,sentiment_label,likes_on_comment,posted_on
C00000_P001,P001,Social Anxiety,this is too accurate lol,validation,relatable,14,2025-06-01
C00001_P001,P001,Social Anxiety,underrated page fr sis,generic,neutral,8,2025-06-01
C00002_P001,P001,Social Anxiety,nice post 👍,generic,neutral,8,2025-06-01
C00003_P001,P001,Social Anxiety,stop describing me 💀,validation,relatable,8,2025-06-01
C00004_P001,P001,Social Anxiety,realest thing on my feed today,ambiguous,neutral,9,2025-06-01
C00005_P001,P001,Social Anxiety,FAKE DEEP,sarcasm,neutral,11,2025-06-01
C00006_P001,P001,Social Anxiety,hmm,ambiguous,neutral,10,2025-06-01
C00007_P001,P001,Social Anxiety,fr too accurate lol,validation,relatable,9,2025-06-01
C00008_P001,P001,Social Anxiety,you read my diary fr fr,validation,relatable,12,2025-06-01
C00009_P001,P001,Social Anxiety,love this page btw,generic,neutral,8,2025-06-01
C00010_P001,P001,Social Anxiety,literally a documentary about me...,validation,relatable,9,2025-06-01
C00011_P001,P001,Social Anxiety,I'm going to pretend I didn't read thiiis fr,validation,relatable,10,2025-06-01
C00012_P001,P001,Social Anxiety,"hold on, my whole life lmao",validation,relatable,10,2025-06-01
C00013_P001,P001,Social Anxiety,"I rehearse before ordering coffee, no exaggeration",personal_story,relatable,13,2025-06-01
C00014_P001,P001,Social Anxiety,not me screenshot of my head 😭,validation,relatable,8,2025-06-01
C00015_P001,P001,Social Anxiety,wait too accurate ngl,validation,relatable,11,2025-06-01
C00016_P001,P001,Social Anxiety,my hands shake when the phone rings too,personal_story,relatable,11,2025-06-01
C00017_P001,P001,Social Anxiety,the timing of this post is suspicious lmao,validation,relatable,6,2025-06-01
C00018_P001,P001,Social Anxiety,personal at this point 🥲🥲,validation,relatable,12,2025-06-01
C00019_P001,P001,Social Anxiety,dm for promotions macha,generic,neutral,8,2025-06-01
C00020_P001,P001,Social Anxiety,that's it me,validation,relatable,6,2025-06-01
C00021_P001,P001,Social Anxiety,so dramatic for no reason,sarcasm,neutral,16,2025-06-01
C00022_P001,P001,Social Anxiety,I felt that 😭,validation,relatable,16,2025-06-01
C00023_P001,P001,Social Anxiety,"ANOTHER RELATABLE PAGE, HOW ORIGINAL",sarcasm,neutral,13,2025-06-01
C00024_P001,P001,Social Anxiety,this is just basic psychology,sarcasm,neutral,9,2025-06-01
C00025_P001,P001,Social Anxiety,painfully accurate ong,validation,relatable,7,2025-06-01
C00026_P001,P001,Social Anxiety,a documentary about me lol,validation,relatable,12,2025-06-01
C00027_P001,P001,Social Anxiety,no because it me 😭,validation,relatable,10,2025-06-01
C00028_P001,P001,Social Anxiety,"came here to laugh, stayed to confront myself bhai",validation,relatable,7,2025-06-01
C00029_P001,P001,Social Anxiety,the way too real...,validation,relatable,11,2025-06-01
C00030_P001,P001,Social Anxiety,REPORTING THIS FOR PERSONAL DAMAGE ANNA,validation,relatable,6,2025-06-01
C00031_P001,P001,Social Anxiety,who allowed you to expose me like this 🥲,validation,relatable,15,2025-06-01
C00032_P001,P001,Social Anxiety,nah too accurate ong,validation,relatable,9,2025-06-01
C00033_P001,P001,Social Anxiety,every frame is my biography,validation,relatable,12,2025-06-01
C00034_P001,P001,Social Anxiety,first comment sis,generic,neutral,9,2025-06-01
C00035_P001,P001,Social Anxiety,"watched this, closed the app, opened it again, watched it again. yeah.",validation,relatable,11,2025-06-01
C00036_P001,P001,Social Anxiety,true that 🔥,generic,neutral,11,2025-06-01
C00037_P001,P001,Social Anxiety,STATING THE OBVIOUS SINCE 2020,sarcasm,neutral,8,2025-06-01
C00038_P001,P001,Social Anxiety,"sure, totally me",sarcasm,neutral,17,2025-06-01
C00039_P001,P001,Social Anxiety,i didn't consent to being exposed pls,validation,relatable,13,2025-06-01
C00040_P001,P001,Social Anxiety,ok but a documentary about me ngl,validation,relatable,16,2025-06-01
C00041_P001,P001,Social Anxiety,I paused. sat down. processed. same. 😭,validation,relatable,15,2025-06-01
C00042_P001,P001,Social Anxiety,who allowed you to expose me like this lmao,validation,relatable,11,2025-06-01
C00043_P001,P001,Social Anxiety,ok but so me ong,validation,relatable,15,2025-06-01
C00044_P001,P001,Social Anxiety,i didn't consent to being exposed lmao,validation,relatable,7,2025-06-01
C00045_P001,P001,Social Anxiety,fr my biography ong,validation,relatable,8,2025-06-01
C00046_P001,P001,Social Anxiety,this is my 13th reason (affectionate),ambiguous,neutral,6,2025-06-01
C00047_P001,P001,Social Anxiety,follow for follow? 🔥,generic,neutral,9,2025-06-01
C00048_P001,P001,Social Anxiety,sir this is my diary page fr,validation,relatable,10,2025-06-01
C00049_P001,P001,Social Anxiety,no because too accurate anna,validation,relatable,9,2025-06-01
C00050_P001,P001,Social Anxiety,genuinely how do you know my life lmao,validation,relatable,14,2025-06-01
C00051_P001,P001,Social Anxiety,nice post,generic,neutral,10,2025-06-01
C00052_P001,P001,Social Anxiety,underrated page fr,generic,neutral,9,2025-06-01
C00053_P001,P001,Social Anxiety,fr my brain on a normal tuesday,validation,relatable,11,2025-06-01
C00054_P001,P001,Social Anxiety,wait my whole life lol,validation,relatable,8,2025-06-01
C00055_P001,P001,Social Anxiety,haha true,generic,neutral,13,2025-06-01
C00056_P001,P001,Social Anxiety,haha true macha,generic,neutral,7,2025-06-01
C00057_P001,P001,Social Anxiety,that hit close to home ngl,validation,relatable,18,2025-06-01
C00058_P001,P001,Social Anxiety,why does this feel personal fr fr,validation,relatable,13,2025-06-01
C00059_P001,P001,Social Anxiety,not to be dramatic but this post understood me better than my last three conversations ngl,validation,relatable,8,2025-06-01
C00060_P001,P001,Social Anxiety,congratulations you discovered being human,sarcasm,neutral,4,2025-06-01
C00061_P001,P001,Social Anxiety,saved this for the next time it happens yaar,validation,relatable,13,2025-06-01
C00062_P001,P001,Social Anxiety,i've never been so seen,validation,relatable,12,2025-06-01
C00063_P001,P001,Social Anxiety,free followers in bio sis,generic,neutral,13,2025-06-01
C00064_P001,P001,Social Anxiety,I've never been so seen,validation,relatable,13,2025-06-01
